method,pf,pm,td,detected,det_H25,det_H50,det_H100,mean_logBIR,max_logBIR,rep_id,job_id,scenario_id,block_id,rep_start,rep_end,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline,alpha_adaptive,c_liu_T2,c_class_roll,c_rrh_075,c_rrh_085,c_rrh_adaptive
RRH_FD_085,0.051224944320712694,0.9353764157228515,2,1,1,1,1,0.09714671734862851,0.6468786948149745,14,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.04899777282850779,0.9420386409060626,2,1,1,1,1,0.06787865409528719,0.7022141471424579,14,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.04899777282850779,0.9473684210526315,9,1,1,1,1,-0.027523180329467684,0.22923745173112398,15,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.0378619153674833,0.9546968687541639,16,1,1,1,1,-0.027523180329467684,0.22923745173112398,15,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.0467706013363029,0.9586942038640907,16,1,1,1,1,-0.02859315567563543,0.37801706790548106,15,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.051224944320712694,0.955363091272485,16,1,1,1,1,-0.02374159353492964,0.2727204559762333,15,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.051224944320712694,0.9573617588274483,16,1,1,1,1,-0.027523180329467684,0.22923745173112398,15,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.0334075723830735,0.8194536975349767,13,1,1,1,1,0.11752061737049191,0.4559846671295915,16,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.0467706013363029,0.9560293137908061,13,1,1,1,1,0.11752061737049191,0.4559846671295915,16,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.04899777282850779,0.9533644237175216,13,1,1,1,1,0.20150638324836573,0.6343651819267819,16,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
